layer1,layer2,layer3,layer4,average steps,average steps of latest 50 rounds,learning rate,cost time

50,50,50,50,624.772,364.02,0.01
50,50,50,50,320.146,263.26,0.001
50,50,50,50,320.146,263.26 0.001 0:11:45.602537
50,50,50,50,624.772,364.02 0.01->10e-3 0:24:51.15432250,50,50,50,1528.5,1522.68

